text,prevword,nextword,prevtag,nexttag,class
"По нашим представлениям, возникновение резонанса в системе планета ― спутник― Солнце возможно при условии, когда за один период обращения Солнца вокруг собственной оси спутник делает целое число оборотов вокруг планеты ",число,вокруг,S,PR,1
"Увеличение протяжённости участков обращения до 700-900 км снижает потребность в локомотивах примерно на 15%, пропорционально растёт среднесуточный пробег, в среднем на 3― 3, 5 км/ ч повышаются маршрутная скорость, оборот вагонов, на 5-10% сокращаются капиталовложения. ",скорость,вагон,S,S,8
"сомнительное слово в пушкиноведческий оборот). Стихии как органические силы жизни , которым даёт язык поэзия. Вот вопрос понимания Пушкина: как оценить эти силы и роль их в ""порядке мира"" пушкинском, если вспомнить блоковское в его речи: ""Порядок мира тревожен, он― родное дитя беспорядка…"" 69? ",пушкиноведческий,стихия,A,S,2
"Концы перевязочного шпагата крепят к кромке боковой царги стула толевыми гвоздями, для чего концы шпагата обвивают вокруг не до конца вбитых гвоздей на полтора оборота и закрепляют их, затем гвозди забивают до конца (рис. 24, б). Таким же образом крепят шпагаты к задней царге, располагая их по центру каждого ряда пружин. ",полтора,и,NUM,CONJ,1
"Из таблицы 8, которая представляет ретроспективу оборота скота на сельском подворье в течение последних 10 лет, можно видеть следующее. ",ретроспектива,скот,S,S,8
"Сегодня владельцами MoneyGram являются Viad Corp. и Travelers Express Company Inc.― одна из крупнейших в мире процессинговых компаний, совершающая 775 млн. финансовых трансакций в год с оборотом 120 млрд. долларов США. ",с,млрд,PR,S,7
"Дело принимало серьёзный оборот, и я как руководитель экспедиции обратился с просьбой к Степанову сходить вниз на поиск группы Евгения Очкина. ",серьезный,и,A,CONJ,3
"Какой путь s пройдёт груз, когда цилиндр сделает один полный оборот, если длина окружности цилиндра l? ",полный,если,A,CONJ,1
"Отсюда и нелёгкая задача, выпавшая на их долю, ― ввести в культурный оборот российского читателя проблематику и инструментарий этих систем, сломать сложившиеся европоцентристские стереотипы восприятия неевропейских традиций как чисто религиозных или мистических. ",культурный,российский,A,A,2
Теперь события приняли новый оборот: новые методы нашли себе опору в старых. ,новый,новый,A,A,3
"Если оно и впрямь будет побеждать опухоли, оборот отличившейся фирмы достигнет, по оценке экспертов, миллиарда долларов в год. ",опухоль,отличаться,S,V,7
"""От этого может закружиться голова"" (ЗпОМ, I, 11); ""лёгкое опьянение мыслей"" (ЗпОМ, I, Приложение 1, 16) ― вот обороты, характеризующие тональность названных заметок. ",вот,характеризовать,PART,V,5
"Книга представляет собой тщательное изложение сухих фактов, опирающееся на содержание сотен архивных документов, большая часть которых впервые вводится в научный оборот. ",научный,,A,,2
"Перевод В. Брун-Цехового изобилует фразами и оборотами, для русского языка лексически и грамматически немыслимыми (о стиле не приходится и говорить). ",и,для,CONJ,PR,5
"Оборот компании достиг 1, 9 миллиона евро. ",евро,компания,S,S,7
Оборот менее 3 млн руб./ мес.― $ 25 (для QUIK-Брокер: оборот менее 10 млн руб./ мес.―$ 50) б/пл б/пл Оборот менее 3 млн руб./ мес.―$ 25 б/пл залог USB-ключа -$ 36 ,пл,менее,UNKN,ADV,7
"Однако вместе с ITV Digital рухнула и главная доходная статья клуба ― телевизионная, в результате чего долги ""Лестера"" сегодня, 42 миллиона долларов, намного превышают его годичный оборот, причём часть кредитов требует немедленного погашения. ",годичный,причем,A,CONJ,7
"Однако со временем рисунок на монете изменился― на экземплярах 1933 года выпуска, сделанных по эскизам известного художника Огастеса Сент-Годенса, изображена аллегорическая фигура Свободы и на обороте ― парящий орёл. ",на,парить,PR,V,4
"Ошибки Ягудина были заметнее: приземление тройного акселя на две ноги, два оборота во флипе. ",два,во,NUM,PR,1
"― Фирме Jera Systems, где работал Володя, ACRUS заказал создание сайта и систему полной автоматизации оборота и учёта документации. ",автоматизация,и,S,CONJ,7
"Стоит отметить, что при небольшом обороте отечественного интернет-бизнеса эта услуга будет очень прибыльной ― при себестоимости в несколько десятков центов розничная цена ЭЦП будет достигать $ 30. ",небольшой,отечественный,A,A,7
В среду президент Владимир Путин подписал указ «О совершенствовании государственного управления в области противодействия незаконному обороту наркотических средств и психотропных веществ». ,незаконный,наркотический,A,A,8
"Лицо признаётся невиновным, если при той степени заботливости и осмотрительности, какая от него требовалась по характеру обязательства и условиям оборота, оно приняло всё меры для надлежащего исполнения обязательства. ",условие,оно,S,SPRO,8
"Объективно существующие различия в регулировании таких отношений в каждом государстве, выступающие как барьеры на пути развития международного финансового оборота, могут быть устранены именно с помощью межгосударственной унификации норм МБП. ",финансовый,мочь,A,V,7
"использование программы для ЭВМ или базы данных ― это выпуск в свет, воспроизведение, распространение и иные действия по их введению в хозяйственный оборот (в том числе в модифицированной форме). ",хозяйственный,в,A,PR,2
"Почти как всегда получил огромное удовольствие от Ваших причастных оборотов, Иван. ",причастный,иван,A,S,5
"Когда, отрываясь от трапеции, вольтижёр делает три оборота, три сальто-мортале, и приходит в руки к ловитору. ",три,три,NUM,NUM,1
Одна приятельница решила послать моему папе в подарок виниловую пластинку Спивакова 33 оборота. ,спиваков,,S,,1
"В те годы многое для нас было внове, о многом мы узнавали впервые, многое стало возможным ― ""хрущевская оттепель"" набирала обороты. ",набирать,,V,,9
"Нужно постепенно уйти от практики деления денежного оборота на автономные, развивающиеся по своим правилам части: рублёвую, долларовую, бартерную, взаимозачетную и стоящую особняком никак не регулируемую финансовыми и денежно-кредитными инструментами теневую компоненту денежного оборота. ",денежный,,A,,7
"Здесь есть два выхода: либо ужесточить санкции за нарушение, так как нынешние штрафы смехотворны, и установить их в размере до 10% от оборота компании, как это принято на Западе, либо изменить законодательство, сделав его более либеральным. ",от,компания,PR,S,7
"27 января вступил в силу федеральный закон ""Об обороте земель сельскохозяйственного назначения"". ",об,земля,PR,S,8
"В начале мая мы получили предписание от полномочного представителя президента РФ в Центральном федеральном округе, где нашей областной Думе указывается, что мы, дескать, не проводим необходимой работы по практической реализации Федерального закона ""Об обороте земель сельскохозяйственного назначения"". ",об,земля,PR,S,8
"Согласно президентскому указу функции налоговой полиции переходят к МВД, а штат и материально-техническая база ― к вновь образованному Госкомитету по противодействию незаконному обороту наркотиков и психотропных веществ. ",незаконный,наркотик,A,S,8
"Полное название новой структуры, которая будет заниматься широкомасштабной борьбой с наркоторговлей в Приморье ― управление Государственного комитета РФ по контролю за оборотом наркотических средств и психотропных веществ по Приморскому краю (ГНК). ",за,наркотический,PR,A,8
В этот период введение в экономический оборот земли и недвижимости будет затруднительно или вовсе невозможно. ,экономический,земля,A,S,2
Президент объявил о создании Госкомитета по контролю за незаконным оборотом наркотических и психотропных веществ. ,незаконный,наркотический,A,A,8
"Дескать, нефтяная рента ― не про вашу честь. Оборота и перелива капитала нет. Зато с западными нефтяными ТНК ещё недавно у них длился медовый месяц и бойкое сватовство на фондовых биржах. ",честь,и,S,CONJ,7
"Вот они, оборотни, берите их в оборот. ",в,,PR,,6
"Но кое-что перепало Минобороны и МВД, и даже специально верному человеку Черкесову пожаловали комитет по противодействию незаконному обороту наркотиков. ",незаконный,наркотик,A,S,8
"Удивительный факт: все последние годы незаконный оборот наркотиков в Уральском федеральном округе (как и везде в России) устойчиво рос, и вдруг в 2002 году органы внутренних дел объявили, что число правонарушений, связанных с наркотиками, резко сократилось. ",незаконный,наркотик,A,S,8
"Колесо истории спустя столетие словно проделало, впопятную, полный оборот и норовит нас, россиян, водворить в ту же исходную точку, когда российской нефтяной рентой ""законно"" владел иностранный капитал. ",полный,и,A,CONJ,1
"Вот почему с удовлетворением взирают на казнь Ходорковского ""каины и авены"" олигархизма, и помалкивают их старомодные кураторы Вольский и Примаков, советские оборотни, совершившие множество оборотов вокруг идеологической оси. ",множество,вокруг,S,PR,1
"― Чего? ― На малых оборотах глохнет. Моргуниха ездила на работу на стареньком синем пикапе, удобная машина. ",малый,глохнуть,A,V,1
"Он уселся за мой столик. Такого оборота дела я не ожидал. ― Но он далеко живёт, ― сказал я, стараясь погасить его неожиданный энтузиазм и вернуть первоначальную атмосферу безнадёжности. ",такой,дело,APRO,S,3
"Хорошо, другой вопрос: колоски в трудные годы воровал с колхозных полей? Старик, изумлённый таким неожиданным оборотом, молчал. Он вовсе сбился с налаженного было снисходительного тона и не находил, что отвечать этому обормоту. ",неожиданный,молчать,A,V,3
"Ирина родилась в Баку, впитала в себя тюркские обороты, культуру, еду. ",тюркский,культура,A,S,5
"Путём собеседования уточнялось, насколько прочно усвоена инструкция об обыске; наконец, прорабатывались разные примеры, какой оборот может принять разговор свидающихся, как вслушиваться в него и прерывать все темы, кроме лично-семейных. ",какой,мочь,APRO,V,3
"Разговор, как чуял он, принимал дурной оборот. ",дурной,,A,,3
"У них, как говорится, было в обороте пять языков, и ни на одном из них они не могли объясняться. ",в,пять,PR,NUM,2
"Андрей чувствовал, что наступивший день уже взял его в оборот и принуждает думать о множестве вещей, которые его совершенно не интересуют. ",в,и,PR,CONJ,6
"Молчание, прерванное матерью, которая тоже прочитала записку: ""Вернейший признак невежественности ― это не орфографические ошибки, а обилие деепричастных оборотов…"" Глаза совсем закрылись, Андрей ощупью добирается до кровати и погружается в сон. ",деепричастный,глаз,A,S,5
"Здесь (в этот первый раз) Стрепетов ещё не обращает внимания на скользящее ""может быть"": оно вроде как вводный оборот и довесок речи для смягчения. ",вводный,и,A,CONJ,5
"Тогда он стал присматриваться к другим конвертам и обнаружил, что с оборота все они словно были когда-то намочены и старательно высушены. ",с,весь,PR,APRO,4
"Мирная жизнь набирала обороты и была отмечена небывалой активностью трудящихся масс: проходили всякие разные слёты, конференции, семинары, совещания, собрания, заседания, и везде, как неугасающий маяк, но если точнее ― как огородное чучело, должен был торчать представитель от рабочего класса, стало быть, профсоюзник. ",набирать,и,V,CONJ,9
Эти разговоры её точно заводят с пол-оборота. ,набирать,и,V,CONJ,1
"по Дворцу пионеров, и на прощанье гаучо подарил вышколенному гиду открытку с видом великолепного ночного Буэнос-Айреса, а на обороте написал: ""Однажды ты станешь коммунистом и поймёшь, что нет большего счастья, чем отдать жизнь за свободу своего народа"". ",на,написать,PR,V,4
"Затем адвокат Миша, обаятельный урод, и американский журналист Джеф, прекрасно говоривший по-русски, но временами радовавший нас совершенно фантастическими оборотами речи. ",фантастический,речь,A,S,5
"Голландское дитя делает не первый шаг, а первый оборот педалью и вырастает не слезая с велосипеда. ",первый,педаль,ANUM,S,1
"Александр "". На обороте: ""Писать много нельзя, время… (далее два слова неразборчиво) сердечная благодарность всем моим знакомым. ",на,писать,PR,V,4
"Должно быть, он ждал нехорошего оборота ― Магаданец тяжёлой глыбой маячил у дверей. ",нехороший,магаданец,A,S,3
"― Старик, ― захохотал он. ― Земля ещё не успеет совершить оборот вокруг солнца, как я стану корреспондентом радио. ",совершать,вокруг,V,PR,1
"На обороте фотографии было написано: ""Лиде ― я из дома бедных Азров, полюбив, мы умираем молча"". ",на,фотография,PR,S,4
"Даренский, вначале сердившийся, что Бова не хочет говорить о средней плотности войск на километр фронта и о преимуществах миномётов над артиллерией в условиях песчаной пустыни, всё же заинтересовался новым оборотом разговора. ",новый,разговор,A,S,3
"""Подпишитесь на обороте, что читали, ― ласково говорил офицер, предъявляя эту шпаргалку, ― и вот ещё раз на копии… ",на,что,PR,CONJ,4
"Ганка повернул фотографию и задержался, читая надпись на обороте. ",на,,PR,,4
Обо всём этом было написано тушью по-французски на обороте ящика. ,на,ящик,PR,S,4
"― Он вырезал аккуратно эту заметку, подписал на обороте красным карандашом все данные: название газеты, номер её, год, число ― и вложил в конверт. ",на,красный,PR,A,4
От 7 до 8 вершков в обороте! ,в,,PR,,1
"Копнев положил круглое зеркальце с лебедем и красавицей на обороте, в которое он рассматривал свои потрясающие зубы, (это было его любимое занятие) и спросил: ",на,в,PR,PR,4
"Безукоризненно честный в житейском смысле этого слова, Павел Алексеевич прожил всю свою профессиональную жизнь в советское время, давно привык пользоваться в статьях и монографиях некоторым условным языком, казёнными зачинами с застывшими оборотами типа: ""В кругу наук сталинской эпохи…"" ― или: ""Благодаря неустанной заботе Партии, Правительства и лично товарища Сталина…"" ― и умел в пределах этой ""фени"" высказывать свои дельные соображения. ",застыть,тип,V,S,5
События между тем принимали довольно неясный оборот. ,неясный,,A,,3
"Чик решил, что беседа принимает опасный оборот. ",опасный,,A,,3
"Ганчук объяснял ― теперь уже как ""своему человеку"", ―отчего разразилась вся эта кампания против него. Такого оборота не ожидал никто. Конечно, повод был: он защищал Аструга, Родичевского и некоторых иных, кого критиковали в недопустимой форме. ",такой,не,APRO,PART,3
Я не понимал и трети ― витиеватые архаические обороты вперемежку с американской матерщиной. ,архаический,вперемежку,A,ADV,5
"При этом рост оборота тоже не очевиден: он то происходит, то останавливается. ",рост,тоже,S,PART,7
"Наиболее верное представление можно было бы получить, сравнив данные о рентабельности и обороте магазинов. ",и,магазин,CONJ,S,7
Набравшему обороты предприятию содержать собственную курьерскую службу уже невыгодно. ,набирать,предприятие,V,S,9
"В активе всей троицы ― хорошая тяга на малых оборотах, прекрасный обзор. ",малый,прекрасный,A,A,1
"Тогда возможно будет, пусть и с небольшим снижением маржи, заметно увеличить оборот сервиса и магазина запчастей, что, в конечном счёте, обернётся ростом прибыли и привлечением новых клиентов. ",увеличивать,сервис,V,S,7
"Правительство добилось того, что оборот остался на крайне ограниченном уровне. ",что,оставаться,CONJ,V,8
"В первом полугодии 2004 года европейский оборот компании составил 4, 5 млн. долл., операционная прибыль ― 1, 6 млн. долл. ",европейский,компания,A,S,7
"По словам Габриэла Бримена, директора отделения партнерской программы Sun/ DotHill в компании DotHill, за два года сотрудничества во всём мире реализовано 25 тыс. систем данной серии; на них приходится 83, 4% оборота компании. ",приходиться,компания,V,S,7
"Автоматизированные системы контроля грузоперевозок оказались выгодны всем заинтересованным сторонам, и для железной дороги основной итог ― увеличение оборота вагонов. ",увеличение,вагон,S,S,8
"За прошедшие девять лет годовой оборот магазина достиг 5, 2 млрд. долл. ",годовой,магазин,A,S,7
"Как человек, чья профессиональная деятельность всю жизнь связана с песенной поэзией, скажу прямо: уже крепко набили оскомину поэтические вирши о России и Кубани, в которых из одного текста в другой кочуют одни и те же ходульные обороты с махровым патриотизмом и безоговорочной влюблённостью авторов в свою единственную родину. ",ходульный,с,A,PR,5
Контроль над оборотом продукции осуществляют сегодня 22 министерства и ведомства. ,над,продукция,PR,S,8
"За январь-март с. г. внешнеторговый оборот составил 3359, 6 млн. долларов (вырос на 35, 3% по отношению к аналогичному периоду 2003 г.). Украина переместилась на третье место среди стран, имеющих наибольший товарооборот с Россией (после Германии и Белоруссии). ",внешнеторговый,составлять,A,V,7
"Ведь пока доля Латвии во внешнеторговом обороте России составляет всего 0, 6%. ",внешнеторговый,россия,A,S,7
"Мы разделяем мнение о том, что терроризм и такие проблемы, как организованная преступность, незаконный оборот наркотиков, оружия и радиоактивных материалов, а также незаконная миграция представляют собой угрозы для регионального и международного мира, стабильности и процветания. ",незаконный,наркотик,A,S,8
"Кстати, положение о необходимости комплексного подхода к борьбе с терроризмом, учитывающего его связь с незаконным оборотом наркотиков, оружия, другими формами организованной преступности, было включено в подготовленный КТК в ноябре 2003 года аналитический доклад о проблемах и трудностях в работе Комитета. ",незаконный,наркотик,A,S,8
Торговый оборот между двумя странами в текущем году по сравнению с аналогичным периодом прошлого года увеличился на 28%. ,торговый,между,A,PR,8
"В центре внимания авторов докладов и статей был самый широкий спектр проблем, связанных с Корейской войной, сделана попытка систематизировать достижения российских исследователей по данному вопросу, восстановить историческую истину в отношении того― кто первый начал эту войну, ликвидировать многие ""белые пятна"" её истории, включить в научный оборот ранее неизвестные источники, проливающие свет на начало и ход войны. ",научный,ранее,A,ADV,2
"По мнению руководителей вышеперечисленных общественных организаций и Комитета производителей алкогольной продукции Европейского делового клуба РФ, Гильдии издателей периодической печати, законоприменительная практика с. 17 ФЗ ""О внесении изменений и дополнений в ФЗ"" О государственном регулировании производства и оборота этилового спирта и алкогольной продукции ""вступает в противоречие с положениями ФЗ"" О рекламе "". ",и,этиловый,CONJ,A,8
Процент от оборота (или от прибыли) ― когда на рекламу выделяются фиксированные проценты от оборотных средств или прибыли; ,от,или,PR,CONJ,7
"В его развитие надо принять законы ""Об обороте земель сельскохозяйственного назначения"""" О крестьянском (фермерском) хозяйстве"""" О личном (подсобном) хозяйстве"". ",об,земля,PR,S,8
"Розничные продавцы имеют ограниченные, весьма дорогие торговые площади и работают только с теми изданиями, которые могут обеспечить необходимый оборот и доход с единицы этой площади. ",необходимый,и,A,CONJ,7
"За ним идёт РАО «ЕЭС России ""(- 6, 75% преф. и - 3, 06% об.), «АвтоВАЗ» преф. (- 4, 59%), «ЛУКОЙЛ» (- 3, 72%) и «Сургутнефтегаз» преф. (- 3, 39%). Среднедневной оборот в РТС практически не изменился и составил 11, 08 млн долларов. ",среднедневной,в,A,PR,7
"Исключением стал, пожалуй, лишь четверг прошлой недели: в тот день наблюдался двукратный рост оборота по государственным бумагам ― более чем 680 млн рублей. ",рост,по,S,PR,7
"― Для нас сегодня выгоднее производить строительные изделия, чем строить, поскольку при этом оборот денег осуществляется значительно быстрее. ",это,деньги,SPRO,S,7
Параллельно с работой над проектом закона об обороте алкогольной продукции законодатели приступили и к рассмотрению новой концепции госмонополии на алкоголь. ,об,алкогольный,PR,A,8
Ежегодный оборот империи Саввиди оценивается в 300 миллионов долларов. ,ежегодный,империя,A,S,7
"Немец от пива отказался, сославшись на язву, а на вопрос, чем же пиво вреднее водки, на хорошем русском сказал, что вреднее: это-де ему объяснили ещё в Воркуте. Разговор принял неожиданный оборот. Диалог получился не слишком изящный, но содержательный. ",неожиданный,диалог,A,S,3
"На фоне расцветающей коммерции зрелищ, под утомлёнными взглядами недоумевающих по мало-мальски серьёзному поводу рецензентов (обороты типа: ""мне было скучно"" и ""я так ничего и не понял"" ныне тавро продвинутой критики) Балтийский Международный фестивальный центр организовал очередную театральную акцию. ",рецензент,тип,S,S,5
"Заместитель министра образования Мордовии Иван Карпов и заместитель начальника Управления Федеральной службы по контролю за оборотом наркотиков на территории республики Александр Акайкин наградили наиболее активных участников общероссийской социальной акции, направленной на борьбу с наркоманией среди детей и подростков. ",за,наркотик,PR,S,8
"Там огромный денежный оборот, у нас ― мелкое предприятие. ",денежный,у,A,PR,7
"Канавкин, никак не ожидавший такого оборота дела, дрогнул, и в театре наступило молчание. ",такой,дело,APRO,S,3
"Но, прочтя его статью, посвящённую пейзажисту А. А. Киселеву, помнится, осмелился высказаться против имеющегося в этой статье оборота: «Имена, сделавшие бы честь любому европейскому профессору». ",статья,имя,S,S,5
"На высоте семи тысяч метров Сергиевский лёг на курс, перевёл моторы на крейсерские обороты и включил автопилот. ",крейсерский,и,A,CONJ,1
"Длинная клюквенная плеть, цепляясь за стебельки трав и неровности, оплела чёрный тёплый пень и, сделав на самом верху несколько оборотов, спустилась по ту сторону. ",несколько,спускаться,NUM,V,1
"Прибавочной стоимостью называет Маркс это возрастание первоначальной стоимости денег, пускаемых в оборот. ",в,,PR,,2
"И самые обороты фраз, которыми он передавал свои военные воспоминания, принимали у него невольно странный, неуклюжий, несколько книжный характер. ",самый,фраза,APRO,S,5
"Это был капитал, который не мог оставаться без употребления и должен был быть пущен в оборот. ",в,,PR,,2
"Она рассказывала мне эти анекдоты, чрезвычайно остроумные и столь же неприличные; и тогда разговор принимал особый оборот ― и самые невинные фразы, казалось, таили в себе двусмысленность ― и глаза Клэр становились блестящими; а когда она переставала смеяться, они делались тёмными и преступными и тонкие её брови хмурились; но как только я подходил ближе к ней, она сердитым шёпотом говорила: mais vous etes fou*― и я отходил. ",особый,и,A,CONJ,3
""" Мои помощники, вёдшие непосредственно переписку с атаманом, нервничали и положительно терялись от изумительных оборотов в посланиях атамана, извращавших самую элементарную сущность всяких вопросов. ",изумительный,в,A,PR,5
Не вытягивайте физиономии. Я поставлю дело на миллионный оборот. А вы извольте организовать мне художественный отдел. ,миллионный,а,ANUM,CONJ,7
"Действительно, наш свод законов гражданских архаичен, кодекса торгового права у нас совсем нет, и некоторые другие области гражданского оборота почти не регулированы точными нормами писаного права. ",гражданский,почти,A,ADV,8
"Обращает на себя внимание, что автор не вполне овладел техникой связной письменной речи, но вместе с тем знает штампы канцелярского языка (сравните такие слова, как «соответствующий», «сей»); любопытно употребление слова «гонор» вместо «гонорар», при «правильном» употреблении иностранного же слова «тема» («тема моего рассказа взята мною…»); при ряде «правильных» литературных оборотов и выражений, явно отклоняющееся от литературного выражение «из случая одного моего знакомого» и т . д. ",литературный,и,A,CONJ,5
"Судить о том, поколику деяния граждан идут стезёю закона или от неё устремляются, и поколику общее мнение даёт законам другой оборот и действие их делает тщетным, ― ничто толико не удобно, как картина тех деяний, которые сделаны гласными, которые подлежали законному изследованию и разсмотрению и над которыми испытывало свои силы остроумие судей при постановлении решений. ",другой,и,APRO,CONJ,3
"и несмотря на значительное уменьшение расходов, доходы Григорья Ивановича не прибавлялись; он и в деревне находил способ входить в новые долги; со всем тем почитался человеком не глупым, ибо первый из помещиков своей губернии догадался заложить имение в Опекунский совет: оборот, казавшийся в то время чрезвычайно сложным и смелым. ",совет,казаться,S,V,3
"Сначала эти последние очень обрадовали полицейских чиновников: они думали найти в них цифрованное письмо; но по внимательном осмотре оказалось, что то были простые черновые счета, накопившиеся, по словам Сегелиеля, от долговременных торговых оборотов, что было весьма вероятно. ",торговый,что,A,CONJ,8
"Как волшебен он теперь при свете своих миллионов огней, какая страшная струя смерти совершает свой бесконечный, разъедающий оборот среди этого вечного тумана, среди миазмов, беспощадно врывающихся со всех сторон! ",разъедать,среди,V,PR,1
"Кто исчислит все обороты, все формы одушевлённой речи? ",весь,весь,APRO,APRO,5
"Дела мои приняли оборот самый дурной; я было понадеялся на милость царскую, потому что ему представили мою книгу; но, кажется, понадеялся напрасно: вряд ли скажут мне и спасибо, не только чтоб сделать какую существенную пользу. ",принимать,самый,V,APRO,3
"1 «Площадями» называются в Орловской губернии большие сплошные массы кустов; орловское наречие отличается вообще множеством своебытных, иногда весьма метких, иногда довольно безобразных слов и оборотов. ",и,,CONJ,,5
Дело принимает скверный оборот ― так понял звонок капитана Дмитрий Юрьевич Потапов. ,скверный,так,A,ADVPRO,3
"― Кать, глупо так волноваться, ― говорил ей Олег, ― теперь уже все идет, как идет. Нужно только обороты набирать.",только,набирать,PART,V,9
"Из-за двери, куда Тарзан-Арсений уволок Читу-Федю, вдруг загомонили, набирая обороты, как будто раскручивался маховик: ",набирать,как,V,ADVPRO,9
"Его второе «я» и без того уже испытывало раскаяние за то, что он так круто взял в оборот бедную женщину. ",в,бедный,PR,A,6
"Вокруг этого следствия, едва начинавшего набирать обороты, затевалась какая-то неприятная возня, предполагающая самые различные неожиданности, а Гурову совсем не хотелось играть в нем роль болванчика. ",набирать,затеваться,V,V,9
"Едва она сделала половину оборота, как контрабас внезапно задрожал и из узких фигурных прорезей прорвался низкий дикторский голос: ",половина,как,S,CONJ,1
"― Правильно, только они срок действия старых не ограничивают, изымают их потихоньку из оборота, и все. ",из,и,PR,CONJ,2
"Ее и раньше удивляло, что в его речи мелькают слишком грамотные, хотя и казенные, обороты. ",казенный,,A,,5
― Вы случайно не в ЛДПР состоите? А то что-то обороты речи знакомые… Были свидетели при этом разговоре? ,что-то,речь,SPRO,S,5
"Все снова ходят в ватниках и разговоры ведут совсем салонные ― о погоде. Обороты, правда, салонными не назовешь. Из-за этой чертовой холодины сегодня срываются волейболы, баскетболы и прочие футболы. ",погода,правда,S,ADV,5
"Впервые ее стало мутить от всех этих лавчонок и забегаловок, от материй и оберток, от магазинных щедрот и приманок, она вдруг прояснила, что какой-нибудь зонтик стоит целых два дня, нет, аж четыре, которые надо оттрубить в «Атлантисе» и зонтик этот принимал совсем другой оборот. ",другой,,APRO,,3
"Кто-то взял этот инструмент, хорошенько стукнул меня по голове и оставил в работающем на холостых оборотах «жигуленке». ",холостой,жигуленок,A,S,1
"Работа в цеху медленно останавливалась, как теряющий обороты пропеллер. ",терять,пропеллер,V,S,1
"Многомиллиардные обороты, тысячные собрания акционеров, McDonalds, глобализация, русские менеджеры, говорящие с английским акцентом, социальные пакеты, вложения в рекламу, вечно сосущий антимонопольный комитет, корпоративные вечеринки, спортивные команды, тренинги, брифинги, регулярный менеджмент. ",многомиллиардный,тысячный,A,ANUM,7
"И все эти гримасы и шарканья, подергивания головой и руками были средством выиграть время, ускользающее и летучее, которым он хотел овладеть, пустить его в оборот, извлечь максимальную прибыль. ",в,извлекать,PR,V,2
"Но однажды (в судьбе животных оборот «но однажды№ имеет столь же фатальный смысл, как и в человеческой) когда у Соконина были гости, развеселившаяся Алена, жена Ивана Прокофьевича, ибо тогда она была ему женой, плеснув в блюдце крепкого кофе, поставила на пол, где шемонился заяц, тогда еще просто Ванька. ",животное,но,S,CONJ,5
"Сей оборот устойчивый речи, конечно же, в контексте истории любовной предполагает многообразие известное взаимных поз и положений, не ограниченное вовсе спартанским ригоризмом комбинации обычной наробразовской ― плечи развернуты, живот подтянут, ноги расслаблены. ",сей,устойчивый,APRO,A,5
"Дело принимало неприятный оборот, председатель Лев старался держать себя в лапах. ",неприятный,председатель,A,S,3
Земля сделала еще один оборот вокруг солнца. ,один,вокруг,ANUM,PR,1
"Нетрудно догадаться, о чем вы сейчас задумались: а что получится, если ленту перекрутить на три оборота и склеить. ",три,и,NUM,CONJ,1
"Теперь поверните решетку на четверть оборота по часовой стрелке, чтобы уже цифра 2 оказалась вверху, и снова наложите на запись. ",четверть,по,S,PR,1
"Таким образом, комбайн описывает сначала небольшие круги вокруг центрального радиомагнита, но с каждым оборотом круги делаются все больше и могут достигать неограниченных размеров. ",каждый,круг,APRO,S,1
"― Оттолкнувшись от пианино, Генка сделал несколько оборотов на стуле. ",несколько,на,NUM,PR,1
