prevword,nextword,prevtag,nexttag,class
increases,rates,VBZ,NNS,6
suspended,payments,VBD,NNS,6
personal,says,JJ,VBZ,3
much,that,JJ,IN,1
investor,in,NN,IN,1
western,to,JJ,TO,4
of,,IN,'',1
own,probably,JJ,RB,4
the,charges,DT,VBZ,6
of,to,IN,TO,2
but,instead,CC,RB,1
but,waned,CC,VBD,1
annual,rates,JJ,NNS,6
annualized,rates,VBN,NNS,6
annual,and,JJ,CC,6
lower,.,JJR,.,6
their,rate,PP,NN,6
an,rate,DT,NN,6
in,payments,IN,NNS,6
the,rate,DT,NN,6
own,as,JJ,IN,4
that,which,DT,WDT,5
gas,from,NN,IN,5
when,rates,WRB,NNS,6
has,in,VBZ,IN,5
british,rates,JJ,NNS,6
higher,rates,JJR,NNS,6
51,to,AB,TO,5
10,in,AB,IN,5
its,payments,PP,NNS,6
the,of,DT,IN,4
business,the,NN,DT,3
an,it,DT,PP,1
with,in,IN,IN,1
net,income,JJ,NN,6
an,rate,DT,NN,6
and,have,CC,VBP,6
the,on,DT,IN,6
shown,.,VBN,.,1
high,rates,JJ,NNS,6
high,rates,JJ,NNS,6
nor,rates,CC,NNS,6
his,outside,PP,IN,3
before,taxes,IN,NNS,6
before,taxes,IN,NNS,6
real-estate,.,NN,.,5
in,every,IN,DT,6
long-term,rates,JJ,NNS,6
believe,rates,VBP,NNS,6
expected,rates,VBD,NNS,6
pushed,rates,VBD,NNS,6
mortgage,rates,NN,NNS,6
high,rates,JJ,NNS,6
high,rates,JJ,NNS,6
falls,rates,VBZ,NNS,6
coal,for,NN,IN,5
great,in,JJ,IN,1
time,paid,NN,VBN,6
accrued,on,VBN,IN,6
and,from,CC,IN,6
equity,of,NN,IN,5
cover,payments,VB,NNS,6
controlling,.,VBG,.,5
50,in,AB,IN,5
public,would,JJ,MD,4
buying,.,NN,.,1
high,rates,JJ,NNS,6
move,rates,VBP,NNS,6
the,rates,DT,NNS,6
less,than,JJR,IN,6
funds,rate,NNS,NN,6
public,.,JJ,.,4
annual,rates,JJ,NNS,6
little,outside,JJ,IN,2
much,as,JJ,IN,1
in,payments,IN,NNS,6
14,rate,AB,NN,6
where,rates,WRB,NNS,6
best,of,JJS,IN,4
and,expense,CC,NN,6
cash,.,NN,.,6
controlling,in,VBG,IN,5
investor,in,NN,IN,1
effective,rate,JJ,NN,6
in,expenses,IN,NNS,6
when,rates,WRB,NNS,6
in,rates,IN,NNS,6
much,.,JJ,.,1
showing,.,VBG,.,1
municipal-bond,is,JJ,VBZ,6
prevailing,rates,JJ,NNS,6
that,rates,IN,NNS,6
if,rates,IN,NNS,6
if,rates,IN,NNS,6
an,rate,DT,NN,6
8.8,for,AB,IN,6
market,rates,NN,NNS,6
national,in,JJ,IN,4
our,in,PP,IN,4
u.s.,rates,NP,NNS,6
u.s.,rates,NP,NNS,6
british,rates,JJ,NNS,6
buying,in,NN,IN,1
investors,in,NNS,IN,1
has,in,VBZ,IN,5
accrued,to,JJ,TO,6
how,rates,WRB,NNS,6
where,rates,WRB,NNS,6
gas,up,NN,RP,5
has,ranging,VBZ,VBG,5
%,during,NN,IN,6
thereafter,paid,RB,VBN,6
represent,in,VB,IN,5
half,in,NN,IN,5
brewing,.,NN,.,5
public,.,JJ,.,4
as,rate,IN,NN,6
with,robert,IN,NP,1
your,is,PP,VBZ,4
intellectual,.,JJ,.,3
spurring,in,VBG,IN,1
fat,payments,JJ,NNS,6
high,rates,JJ,NNS,6
the,on,DT,IN,6
base,rates,NN,NNS,6
charging,rates,VBG,NNS,6
the,rates,DT,NNS,6
whose,include,WP,VBP,5
in,expense,IN,NN,6
periodic,payments,JJ,NNS,6
some,in,DT,IN,1
lower,rates,VB,NNS,6
variable,rates,JJ,NNS,6
semiannual,payment,JJ,NN,6
an,payment,DT,NN,6
its,in,PP,IN,5
annual,rates,JJ,NNS,6
of,in,IN,IN,5
covia,.,NP,.,5
with,in,IN,IN,5
revive,in,VB,IN,1
plus,``,CC,``,6
lower,rates,JJR,NNS,6
our,rate,PP,NN,6
accrued,this,JJ,DT,6
the,rates,DT,NNS,6
accrued,--,JJ,:,6
bonds,rates,NNS,VBZ,6
the,rate,DT,NN,6
accrue,in,VB,IN,6
the,rate,DT,NN,6
has,in,VBZ,IN,5
investor,in,NN,IN,1
investor,in,NN,IN,1
that,has,DT,VBZ,1
open,and,JJ,CC,5
open,is,JJ,VBZ,5
overdue,on,JJ,IN,6
from,on,IN,IN,6
high,and,JJ,CC,6
voting,of,NN,IN,5
u.k.,rates,NP,NNS,6
the,that,DT,DT,6
including,on,VBG,IN,6
in,could,IN,MD,6
the,the,DT,DT,6
the,buildup,DT,NN,6
minority,.,NN,.,5
little,in,JJ,IN,1
the,payment,DT,NN,6
no,until,DT,IN,6
economic,.,JJ,.,4
our,lies,PP,VBZ,4
keen,in,JJ,IN,1
keen,in,JJ,IN,1
lower,rates,JJR,NNS,6
let,rates,VBN,NNS,6
bronfman,hold,NP,VBP,5
free-speech,outweighed,NN,VBD,4
the,of,DT,IN,4
public,in,JJ,IN,4
public,in,JJ,IN,1
the,of,DT,IN,4
dividend,in,NN,IN,5
dividend,in,NN,IN,5
including,to,VBG,TO,6
and,of,CC,IN,6
for,since,IN,IN,6
unpaid,equal,JJ,JJ,6
creditors,accrued,NNS,VBN,6
much,in,JJ,IN,1
of,from,IN,IN,1
cut,rates,VB,NNS,6
lower,rates,VB,NNS,6
taxes,and,NNS,CC,6
short,in,JJ,IN,5
short,in,JJ,IN,5
stable,rates,JJ,NNS,6
lose,from,VB,IN,6
earn,for,VB,IN,6
short-term,rates,JJ,NNS,6
lower,rates,JJR,NNS,6
short-term,rates,JJ,NNS,6
plus,has,CC,VBZ,6
its,income,PP,NN,6
great,since,JJ,IN,1
annual,rates,JJ,NNS,6
an,in,DT,IN,1
and,income,CC,NN,6
defer,and,VB,CC,6
cash,bill,NN,NN,6
that,bill,DT,NN,6
the,of,DT,IN,4
pay,periodically,VB,RB,6
current,bonds,JJ,NNS,6
current,bonds,JJ,NNS,6
current,bonds,JJ,NNS,6
50,in,AB,IN,5
with,in,IN,IN,5
active,beyond,JJ,IN,1
family,a,NN,DT,5
best,of,JJS,IN,4
in,expense,IN,NN,6
minority,.,NN,.,5
its,in,PP,IN,5
25,in,AB,IN,5
japanese,rates,JJ,NNS,6
of,,IN,'',1
including,on,VBG,IN,6
in,on,IN,IN,6
in,earned,IN,VBN,6
an,in,DT,IN,1
average,rate,JJ,NN,6
has,in,VBZ,IN,5
working,and,VBG,CC,5
50,and,AB,CC,5
minority,rose,NN,VBD,5
on,rates,IN,NNS,6
their,in,PP,IN,1
some,income,DT,NN,6
annual,rates,JJ,NNS,6
consumer,small,NN,JJ,4
late-payment,because,NN,IN,6
request,abatement,VB,NN,6
home-mortgage,on,JJ,IN,6
and,on,CC,IN,6
government,and,NN,CC,4
special,magazines,JJ,NNS,3
idosyncratic,of,JJ,IN,3
of,in,IN,IN,1
minority,in,NN,IN,5
low,rate,JJ,NN,6
all,costs,DT,NNS,6
school,costs,NN,NNS,6
of,among,IN,IN,3
narrow,of,JJ,IN,4
the,of,DT,IN,4
common,and,JJ,CC,3
short,in,JJ,IN,5
short,statistics,JJ,NNS,5
short,figures,JJ,NNS,5
short,in,JJ,IN,5
short,compares,JJ,VBZ,5
short,which,JJ,WDT,5
short,rose,JJ,VBD,5
short,gains,JJ,NNS,5
short,in,JJ,IN,5
short,jumped,JJ,VBD,5
short,position,JJ,NN,5
short,in,JJ,IN,5
short,surge,JJ,NN,5
short,in,JJ,IN,5
short,included,JJ,VBD,5
short,data,JJ,NNS,5
short,in,JJ,IN,5
short,represents,JJ,VBZ,5
short,position,JJ,NN,5
and,while,CC,IN,6
and,rates,CC,NNS,6
current,bonds,JJ,NNS,6
current,bonds,JJ,NNS,6
current,serial,JJ,NN,6
year,rates,NN,NNS,6
and,rate,CC,NN,6
reduce,costs,VB,NNS,6
ease,rates,VB,NNS,6
higher,expense,JJR,NN,6
minority,in,NN,IN,5
high,rates,JJ,NNS,6
institutional,later,JJ,RB,1
some,but,DT,CC,1
european,in,JJ,IN,1
investor,because,NN,IN,1
its,.,PP,.,5
australian,rates,JJ,NNS,6
oil,might,NN,MD,5
oil,already,NN,RB,5
cash,bill,NN,NN,6
accrued,to,VBN,TO,6
cut,rates,VB,NNS,6
lower,rates,JJR,NNS,6
``,by,``,IN,1
and,rates,CC,NNS,6
up,in,IN,IN,1
falling,rates,VBG,NNS,6
true,cost,JJ,NN,6
but,and,CC,CC,6
short,increased,JJ,VBD,5
the,connected,DT,VBN,1
losing,in,VBG,IN,1
s,in,POS,IN,1
s,in,POS,IN,1
one-third,in,JJ,IN,5
majority,last,NN,JJ,5
as,rates,IN,NNS,6
than,rates,IN,NNS,6
other,.,JJ,.,3
when,rates,WRB,NNS,6
and,rates,CC,NNS,6
and,were,CC,VBD,6
and,accrued,CC,VBN,6
year,is,NN,VBZ,6
lower,rates,VB,NNS,6
``,rates,``,NNS,6
return,rates,VB,NNS,6
funds,rate,NNS,NN,6
the,of,DT,IN,5
as,rates,IN,NNS,6
and,expense,CC,NN,6
before,taxes,IN,NNS,6
banks,in,NNS,IN,1
and,rates,CC,NNS,6
current,bonds,JJ,NNS,6
current,serial,JJ,NN,6
investors,on,NNS,IN,6
to,payments,TO,NNS,6
sole,and,JJ,CC,3
insurance,acquired,NN,VBN,5
insurance,it,NN,PP,5
s,in,POS,IN,5
lower,rates,VB,NNS,6
much,in,JJ,IN,1
the,of,DT,IN,4
have,in,VB,IN,5
accrue,at,VB,IN,6
immediate,payments,JJ,NNS,6
missing,payments,VBG,NNS,6
investor,for,NN,IN,1
that,rates,IN,NNS,6
annual,rates,JJ,NNS,6
billion,income,AB,NN,6
annualized,rates,JJ,NNS,6
new-found,more,JJ,JJR,1
current,rates,JJ,NNS,6
australian,rates,JJ,NNS,6
before,tax,IN,NN,6
an,.,DT,.,5
shown,national,VBN,JJ,1
its,expense,PP,NN,6
hefty,payments,JJ,NNS,6
some,payments,DT,NNS,6
with,primarily,IN,RB,5
family,.,NN,.,5
excited,in,VBN,IN,1
lost,as,VBD,IN,1
an,in,DT,IN,1
any,in,DT,IN,1
annual,rates,JJ,NNS,6
of,accrued,IN,VBN,6
with,in,IN,IN,5
the,of,DT,IN,4
net,bill,JJ,NN,6
has,in,VBZ,IN,5
before,and,IN,CC,6
high,rates,JJ,NNS,6
believe,rates,VBP,NNS,6
fact,in,NN,IN,1
his,in,PP,IN,1
62.5,with,AB,IN,5
over,rates,IN,NNS,6
allow,rates,VB,NNS,6
that,rates,IN,NNS,6
plus,income,CC,NN,6
as,rates,IN,NNS,6
strong,abroad,JJ,RB,1
the,rate,DT,NN,6
its,in,PP,IN,5
let,rates,VB,NNS,6
lower,rates,JJR,NNS,6
50,in,AB,IN,5
up,among,RP,IN,1
special,in,JJ,IN,4
in,rates,IN,NNS,6
increase,rates,VB,NNS,6
on,rates,IN,NNS,6
thin,ahead,JJ,RB,1
months,may,NNS,MD,1
short-term,rates,JJ,NNS,6
bank,rates,NN,NNS,6
its,as,PP,IN,5
36,in,AB,IN,5
minority,in,NN,IN,5
ownership,.,NN,.,5
business,the,NN,DT,3
54,in,AB,IN,5
as,from,IN,IN,1
their,.,PP,.,4
the,of,DT,IN,4
investor,were,NN,VBD,1
investor,.,NN,.,1
little,in,JJ,IN,1
buying,for,NN,IN,1
buying,in,NN,IN,1
has,in,VBZ,IN,5
their,.,PP,.,4
buying,.,NN,.,1
buying,was,NN,VBD,1
buying,helped,NN,VBD,1
in,,IN,'',5
national,because,JJ,IN,2
whose,are,WP,VBP,5
considerable,,JJ,'',1
u.s.,at,NP,IN,4
accumulate,in,VBP,IN,6
his,in,PP,IN,1
investor,in,NN,IN,1
buying,in,NN,IN,1
of,``,IN,``,6
general,magazine,JJ,NN,3
black,,JJ,'',4
economic,.,JJ,.,3
his,in,PP,IN,1
buying,remained,NN,VBD,1
minority,but,NN,CC,5
u.s.,may,NP,MD,1
s,in,POS,IN,4
financial,in,JJ,IN,5
of,.,IN,.,4
of,for,IN,IN,4
of,,IN,'',4
of,set,IN,VBN,4
of,to,IN,TO,4
of,.,IN,.,4
of,or,IN,CC,4
of,already,IN,RB,4
of,.,IN,.,4
of,standard,IN,NN,4
of,,IN,'',4
in,expense,IN,NN,6
scientific,in,JJ,IN,1
has,in,VBZ,IN,5
high,rates,JJ,NNS,6
fixed-dollar,payments,JJ,NNS,6
an,.,DT,.,5
their,at,PP,IN,6
and,rates,CC,NNS,6
much,if,JJ,IN,6
taxes,and,NNS,CC,6
an,in,DT,IN,5
sold,in,VBN,IN,5
on,rates,IN,NNS,6
high,rate,JJ,NN,6
if,rates,IN,NNS,6
if,rates,IN,NNS,6
higher,yield,JJR,NN,6
higher,rate,JJR,NN,6
buying,also,NN,RB,1
high,rates,JJ,NNS,6
high,rates,JJ,NNS,6
of,rates,IN,NNS,6
the,is,DT,VBZ,1
of,in,IN,IN,1
short,on,JJ,IN,5
short,.,JJ,.,5
short,dropped,JJ,VBD,5
short,climbed,JJ,VBD,5
short,has,JJ,VBZ,5
short,is,JJ,VBZ,5
short,bullish,JJ,JJ,5
short,of,JJ,IN,5
short,ratio,JJ,NN,5
short,in,JJ,IN,5
short,slid,JJ,VBD,5
short,volume,JJ,NN,5
short,position,JJ,NN,5
include,costs,VB,NNS,6
attractive,rates,JJ,NNS,6
for,payments,IN,NNS,6
foregone,on,JJ,IN,6
that,rates,IN,NNS,6
lower,rates,JJR,NNS,6
key,rate,JJ,NN,6
watching,in,VBG,IN,1
controlling,in,NN,IN,5
``,rates,``,NNS,6
falling,rates,VBG,NNS,6
higher,than,JJR,IN,6
when,rates,WRB,NNS,6
on,costs,IN,NNS,6
that,rates,IN,NNS,6
resettable,rate,JJ,NN,6
that,rates,IN,NNS,6
debt,.,NN,.,6
its,in,PP,IN,5
its,along,PP,IN,5
s,shortly,POS,RB,5
their,have,PP,VBP,4
financial,in,JJ,IN,5
s,to,POS,TO,4
own,to,JJ,TO,4
s,in,POS,IN,5
the,on,DT,IN,6
an,only,DT,RB,5
represent,in,VB,IN,5
an,in,DT,IN,5
the,hit,DT,VBD,5
with,that,IN,WDT,5
excluding,increased,VBG,VBD,6
strategic,waiting,JJ,VBG,4
an,in,DT,IN,5
and,income,CC,NN,6
semi-annually,will,RB,MD,6
of,to,IN,TO,2
s,area,POS,NN,3
topic,in,NN,IN,1
soviet,also,JJ,RB,1
one-third,in,JJ,IN,5
reduce,rates,VB,NNS,6
private,.,JJ,.,4
has,in,VBZ,IN,5
business,and,NN,CC,3
controlling,in,VBG,IN,5
in,income,IN,NN,6
lower,income,JJR,NN,6
minority,rose,NN,VBD,5
minority,.,NN,.,5
consumer,in,NN,IN,1
one-sixth,in,JJ,IN,5
higher,expenses,JJR,NNS,6
22,in,AB,IN,5
s,in,POS,IN,5
44,in,AB,IN,5
u.s.,rates,NP,NNS,6
investor,switches,NN,VBZ,1
attracted,for,VBD,IN,1
of,in,IN,IN,1
u.k.,rates,NP,NNS,6
high,rates,JJ,NNS,6
best,of,JJS,IN,4
lower,rates,JJR,NNS,6
higher,margins,JJR,NNS,6
short,fell,JJ,VBD,5
buying,later,NN,RB,1
now,rates,RB,NNS,6
management,will,NN,MD,5
management,was,NN,VBD,5
its,in,PP,IN,5
the,of,DT,IN,5
of,,IN,'',1
annual,rates,JJ,NNS,6
tighter,margins,JJR,NNS,6
widened,expense,VBD,NN,6
net,expense,JJ,NN,6
an,payment,DT,NN,6
and,payments,CC,NNS,6
cellular,in,JJ,IN,5
an,or,DT,CC,5
an,there,DT,RB,5
best,.,JJS,.,4
s,.,POS,.,5
higher,margins,JJR,NNS,6
brazilian,paid,JJ,VBN,6
net,margin,JJ,NN,6
has,in,VBZ,IN,5
business,capital,NN,NP,3
public,,JJ,'',4
u.s.,rates,NP,NNS,6
with,in,IN,IN,5
over,rates,IN,NNS,6
allowing,rates,VBG,NNS,6
equity,in,NN,IN,5
majority,in,NN,IN,5
10,in,AB,IN,5
high,rates,JJ,NNS,6
public,.,JJ,.,4
public,.,JJ,.,4
lower,rates,JJR,NNS,6
low,rates,JJ,NNS,6
accruing,the,VBG,DT,6
soft-drink,did,NN,VBD,5
brewing,in,NN,IN,5
those,include,DT,VBP,5
lower,rates,VB,NNS,6
best,of,JJS,IN,4
with,in,IN,IN,5
with,accruing,IN,VBG,6
accrued,is,VBN,VBZ,6
buy-out,payments,NN,NNS,6
just,payments,RB,NNS,6
lower,rate,JJR,NN,6
pay,for,VB,IN,6
until,is,IN,VBZ,6
accrued,.,VBN,.,6
the,deduction,DT,NN,6
s,expense,POS,NN,6
its,expense,PP,NN,6
entrenched,.,JJ,.,4
in,rates,IN,NNS,6
computing,on,VBG,IN,6
an,in,DT,IN,5
majority,later,NN,RB,5
in,costs,IN,NNS,6
long-term,of,JJ,IN,4
initial,rate,JJ,NN,6
semiannually,payments,RB,NNS,6
and,.,CC,.,6
where,rates,WRB,NNS,6
levels,rates,NNS,NNS,6
different,,JJ,'',3
their,are,PP,VBP,4
widespread,in,JJ,IN,5
annual,rates,JJ,NNS,6
stir,in,VB,IN,1
lower,income,JJR,NN,6
of,expense,IN,NN,6
million,expense,AB,NN,6
significant,rate,JJ,NN,6
50,in,AB,IN,5
50,in,AB,IN,5
minority,increased,NN,VBD,5
minority,but,NN,CC,5
an,in,DT,IN,5
financial,,JJ,'',5
financial,``,JJ,``,5
in,rates,IN,NNS,6
average,rate,JJ,NN,6
in,payments,IN,NNS,6
because,rates,IN,NNS,6
public,if,JJ,IN,4
on,rate-sensitive,IN,JJ,6
buying,after,NN,IN,1
other,.,JJ,.,3
annual,rates,JJ,NNS,6
chemicals,include,NNS,VBP,5
best,of,JJS,IN,4
and,as,CC,IN,6
this,in,DT,IN,1
export,among,NN,IN,1
has,in,VBZ,IN,5
other,in,JJ,IN,3
has,in,VBZ,IN,5
u.s.,.,NP,.,4
its,was,PP,VBD,4
lower,rates,VB,NNS,6
s,at,POS,IN,4
80,in,AB,IN,5
before,tax,IN,NN,6
liability,will,NN,MD,6
short-term,rates,JJ,NNS,6
short-term,rate,JJ,NN,6
no,payments,DT,NNS,6
net,margin,JJ,NN,6
net,income,JJ,NN,6
an,in,DT,IN,5
net,margin-the,JJ,NN,6
to,rose,TO,VBD,6
to,and,TO,CC,6
net,income,JJ,NN,6
best,of,JJS,IN,4
on,rates,IN,NNS,6
an,in,DT,IN,4
u.s.,in,NP,IN,1
and,costs,CC,NNS,6
public,and,JJ,CC,4
falling,rates,VBG,NNS,6
greater,in,JJR,IN,1
follow,rate,VB,NN,6
when,rates,WRB,NNS,6
short-term,rates,JJ,NNS,6
an,in,DT,IN,5
funds,rate,NNS,NN,6
equity,in,NN,IN,5
average,rate,JJ,NN,6
lost,.,VBN,.,1
make,payments,VB,NNS,6
bear,at,VB,IN,6
of,of,IN,IN,1
of,expressed,IN,VBN,1
renewed,by,VBN,IN,1
advertiser,.,NN,.,1
lost,in,VBN,IN,1
up,in,RP,IN,1
express,in,VBP,IN,1
his,.,PP,.,4
15,in,AB,IN,5
6.25,rates,AB,NNS,6
equity,in,NN,IN,5
bring,rates,VB,NNS,6
says,rates,VBZ,NNS,6
annualized,rates,VBN,NNS,6
gas,and,NN,CC,5
51,in,AB,IN,5
institutional,in,JJ,IN,1
in,in,IN,IN,1
from,and,IN,CC,6
low,rate,JJ,NN,6
and,but,CC,CC,6
},rates,),NNS,6
lower,rates,VB,NNS,6
lower,rates,JJR,NNS,6
including,over,VBG,IN,6
net,income,JJ,NN,6
the,rate,DT,NN,6
of,payments,IN,NNS,6
net,income,JJ,NN,6
accruing,net,VBG,JJ,6
of,income,IN,NN,6
than,climbed,IN,VBD,6
net,margin,JJ,NN,6
net,income,JJ,NN,6
net,margin,JJ,NN,6
from,and,IN,CC,6
s,in,POS,IN,5
net,down,JJ,RB,6
and,rates,CC,NNS,6
economic,are,JJ,VBP,4
private,of,JJ,IN,4
public,the,JJ,DT,1
minority,of,NN,IN,5
short-term,rates,JJ,NNS,6
the,.,DT,.,1
higher,income,JJR,NN,6
15,in,AB,IN,5
annual,rates,JJ,NNS,6
trading,in,NN,IN,5
in,rates,IN,NNS,6
with,in,IN,IN,5
56,in,AB,IN,5
other,are,JJ,VBP,5
the,rate,DT,NN,6
potential,from,JJ,IN,1
key,rate,JJ,NN,6
funds,rate,NNS,NN,6
other,rates,JJ,NNS,6
short-term,rates,JJ,NNS,6
lower,rates,JJR,NNS,6
lower,rates,VB,NNS,6
short-term,rates,JJ,NNS,6
now,rates,RB,NNS,6
their,in,PP,IN,5
in,rates,IN,NNS,6
and,rates,CC,NNS,6
base,rate,NN,NN,6
lower,rates,VB,NNS,6
s,in,POS,IN,1
1987,rates,AB,NNS,6
lower,rates,VB,NNS,6
lower,rates,VB,NNS,6
raised,rates,VBD,NNS,6
lower,rates,VB,NNS,6
of,for,IN,IN,6
bond,rates,NN,NNS,6
the,but,DT,CC,6
and,rates,CC,NNS,6
expressed,in,VBN,IN,1
of,income,IN,NN,6
the,rate,DT,NN,6
between,rates,IN,NNS,6
reduce,rates,VB,NNS,6
lower,rates,JJR,NNS,6
u.s.,rates,NP,NNS,6
domestic,rates,JJ,NNS,6
{,},(,),6
u.s.,rates,NP,NNS,6
the,of,DT,IN,4
its,in,PP,IN,5
hooker,in,NP,IN,5
weak,rates,JJ,NNS,6
100,in,AB,IN,5
business,and,NN,CC,5
s,in,POS,IN,1
with,in,IN,IN,5
over,rates,IN,NNS,6
allow,rates,VB,NNS,6
by,payments,IN,NNS,6
the,from,DT,IN,6
cash,payments,NN,NNS,6
current,rates,JJ,NNS,6
1987,rates,AB,NNS,6
ease,rates,VB,NNS,6
telephone,and,NN,CC,5
annual,rates,JJ,NNS,6
minority,.,NN,.,5
in,rates,IN,NNS,6
lower,rates,JJR,NNS,6
short-term,rates,JJ,NNS,6
key,rate,JJ,NN,6
only,.,JJ,.,6
personal,.,JJ,.,3
has,in,VBZ,IN,5
annual,rate,JJ,NN,6
that,rates,IN,NNS,6
base,rate,NN,NN,6
bank,and,NN,CC,5
hefty,payments,JJ,NNS,6
some,payments,DT,NNS,6
the,rate,DT,NN,6
coupon,payments,NN,NNS,6
on,payments,IN,NNS,6
suspended,payments,VBN,NNS,6
pay,on,VB,IN,6
compound,and,JJ,CC,6
compound,.,NN,.,6
at,rates,IN,NNS,6
own,in,VBP,IN,5
the,and,DT,CC,6
mutual,said,JJ,VBD,4
s,may,POS,MD,1
minority,in,NN,IN,5
s,in,POS,IN,1
its,but,PP,CC,4
own,.,JJ,.,4
an,rate,DT,NN,6
exact,rate,JJ,NN,6
expect,rates,VBP,NNS,6
the,of,DT,IN,4
and,rates,CC,NNS,6
high,rates,JJ,NNS,6
u.s.,rates,NP,NNS,6
short-term,rates,JJ,NNS,6
controlling,in,VBG,IN,5
in,rates,IN,NNS,6
much,in,JJ,IN,1
allowing,rates,VBG,NNS,6
true,cost,JJ,NN,6
its,in,PP,IN,5
u.s.,in,NP,IN,1
and,payments,CC,NNS,6
lower,rates,VB,NNS,6
falling,rates,VBG,NNS,6
in,rates,IN,NNS,6
telephone,and,NN,CC,5
before,and,IN,CC,6
high,rates,JJ,NNS,6
by,payments,IN,NNS,6
cash,payments,NN,NNS,6
the,of,DT,IN,4
cut,rates,VB,NNS,6
an,rate,DT,NN,6
high,rates,JJ,NNS,6
net,revenue,JJ,NN,6
net,margin,JJ,NN,6
declining,rates,VBG,NNS,6
reduced,rate,VBN,NN,6
has,in,VBZ,IN,5
at,rates,IN,NNS,6
majority,in,NN,IN,5
minority,in,NN,IN,5
